Lot Area,Overall Qual,Overall Cond,Year Built,Gr Liv Area,Bedroom AbvGr,Garage Cars,SalePrice
31770.0,6.0,5.0,1960.0,1656.0,3.0,2.0,215000
11622.0,5.0,6.0,,896.0,2.0,1.0,105000
14267.0,6.0,,1958.0,1329.0,3.0,1.0,172000
11160.0,7.0,5.0,1968.0,2110.0,3.0,2.0,244000
13830.0,5.0,5.0,1997.0,1629.0,3.0,2.0,189900
9978.0,6.0,6.0,1998.0,1604.0,3.0,2.0,195500
4920.0,8.0,5.0,2001.0,1338.0,2.0,2.0,213500
5005.0,8.0,5.0,1992.0,1280.0,2.0,2.0,191500
5389.0,8.0,5.0,1995.0,1616.0,2.0,2.0,236500
7500.0,7.0,5.0,1999.0,1804.0,3.0,2.0,189000
10000.0,6.0,5.0,1993.0,1655.0,,2.0,175900
7980.0,6.0,7.0,1992.0,1187.0,3.0,,185000
8402.0,6.0,5.0,1998.0,1465.0,3.0,2.0,180400
10176.0,,5.0,1990.0,1341.0,2.0,2.0,171500
6820.0,8.0,5.0,1985.0,1502.0,1.0,2.0,212000
53504.0,8.0,5.0,,3279.0,4.0,3.0,538000
12134.0,8.0,7.0,1988.0,1752.0,4.0,2.0,164000
11394.0,9.0,2.0,2010.0,1856.0,1.0,3.0,394432
19138.0,4.0,5.0,1951.0,864.0,2.0,2.0,141000
13175.0,6.0,6.0,,,3.0,2.0,210000
11751.0,6.0,6.0,1977.0,1844.0,3.0,2.0,190000
10625.0,7.0,6.0,1974.0,1173.0,3.0,2.0,170000
7500.0,7.0,,2000.0,1674.0,3.0,2.0,216000
11241.0,,7.0,1970.0,1004.0,2.0,2.0,149000
12537.0,5.0,6.0,1971.0,1078.0,3.0,2.0,149900
8450.0,5.0,6.0,1968.0,1056.0,3.0,,142000
8400.0,4.0,5.0,,882.0,2.0,2.0,126000
10500.0,4.0,5.0,1971.0,864.0,,0.0,115000
5858.0,7.0,5.0,1999.0,1337.0,2.0,2.0,184000
1680.0,6.0,5.0,1971.0,987.0,2.0,1.0,96000
1680.0,5.0,5.0,1971.0,1092.0,3.0,1.0,105500
1680.0,6.0,5.0,1971.0,1092.0,3.0,1.0,88000
,6.0,5.0,1977.0,1069.0,2.0,2.0,127500
2280.0,6.0,6.0,1975.0,1456.0,3.0,2.0,149900
2280.0,7.0,6.0,1975.0,836.0,2.0,1.0,120000
2280.0,6.0,5.0,1978.0,1456.0,3.0,2.0,146000
12858.0,,5.0,2009.0,2334.0,3.0,3.0,376162
11478.0,8.0,5.0,2007.0,1704.0,3.0,,306000
10159.0,9.0,5.0,2009.0,1940.0,3.0,,395192
12883.0,8.0,5.0,2009.0,1544.0,3.0,3.0,290941
12182.0,7.0,5.0,2005.0,1541.0,3.0,2.0,220000
11520.0,9.0,5.0,2005.0,1698.0,3.0,3.0,275000
14122.0,8.0,5.0,2005.0,1822.0,3.0,3.0,259000
10171.0,7.0,5.0,2004.0,1535.0,3.0,2.0,214000
12919.0,9.0,5.0,2009.0,2364.0,2.0,,611657
6371.0,7.0,5.0,2009.0,1358.0,2.0,2.0,224000
14300.0,9.0,5.0,2003.0,2696.0,3.0,3.0,500000
13650.0,8.0,5.0,2002.0,2250.0,3.0,3.0,320000
7658.0,9.0,5.0,2005.0,1752.0,2.0,2.0,319900
7132.0,8.0,5.0,,1370.0,2.0,2.0,205000
2628.0,,5.0,2003.0,1626.0,2.0,2.0,175500
,6.0,5.0,2005.0,1324.0,3.0,2.0,199500
3203.0,7.0,5.0,2006.0,1145.0,2.0,2.0,160000
3182.0,8.0,5.0,2004.0,1269.0,2.0,2.0,192000
13300.0,,5.0,2004.0,1374.0,3.0,2.0,184500
7851.0,6.0,5.0,2002.0,1960.0,4.0,2.0,216500
8577.0,7.0,5.0,2004.0,1733.0,3.0,,185088
7750.0,7.0,5.0,,1430.0,3.0,2.0,180000
9505.0,7.0,5.0,2001.0,2035.0,3.0,2.0,222500
14774.0,9.0,5.0,1999.0,2599.0,4.0,3.0,333168
17433.0,8.0,5.0,1998.0,,4.0,3.0,355000
10593.0,7.0,5.0,1996.0,1720.0,3.0,2.0,260400
12256.0,8.0,5.0,1994.0,2622.0,3.0,2.0,325000
11764.0,8.0,7.0,1999.0,2270.0,4.0,3.0,290000
